dataset,video_id,plot_path,gt_supportable_count,gt_uncertain_count,gt_unsupportable_count,final_pi_count,valley_cut_count,high_unmarked_peak_count,low_marked_segment_count
UCF-Crime,Explosion007_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0035_UCF-Crime_Explosion007_x264.png,1,0,0,19,0,0,12
UCF-Crime,Explosion008_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0036_UCF-Crime_Explosion008_x264.png,1,0,0,1,0,0,1
UCF-Crime,Explosion010_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0037_UCF-Crime_Explosion010_x264.png,1,0,0,4,1,0,4
UCF-Crime,Explosion011_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0038_UCF-Crime_Explosion011_x264.png,1,0,0,2,2,0,2
UCF-Crime,Explosion013_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0039_UCF-Crime_Explosion013_x264.png,1,0,0,1,0,0,4
UCF-Crime,Explosion016_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0040_UCF-Crime_Explosion016_x264.png,1,0,0,1,0,0,0
UCF-Crime,Explosion017_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0041_UCF-Crime_Explosion017_x264.png,1,0,0,1,0,0,4
UCF-Crime,Explosion020_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0042_UCF-Crime_Explosion020_x264.png,1,0,0,1,0,0,0
UCF-Crime,Explosion021_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0043_UCF-Crime_Explosion021_x264.png,1,0,0,1,0,0,0
UCF-Crime,Explosion022_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0044_UCF-Crime_Explosion022_x264.png,1,0,0,3,1,0,2
UCF-Crime,Explosion025_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0045_UCF-Crime_Explosion025_x264.png,0,0,1,0,0,0,0
UCF-Crime,Explosion027_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0046_UCF-Crime_Explosion027_x264.png,0,1,0,2,0,0,2
UCF-Crime,Explosion028_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0047_UCF-Crime_Explosion028_x264.png,0,0,1,2,0,0,3
